id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
383,Jakarta Selatan,Tidak,Tidak ada,"Excel, SQL, Power BI, Databases, Tableau","Cari Kerja, Upskill",LinkedIn,Jakarta,1
384,Pekanbaru,Ya,Freelance,"Power BI, Looker Studio, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Riau,1
385,Jakarta Timur,Tidak,Karyawan Swasta,"Excel, SQL, Python, Databases",Upskill,LinkedIn,Jakarta,0
386,Tangerang Selatan,Ya,Admin,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Banten,1
387,Aceh Utara ,Ya,-,"Excel, SQL, Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Aceh,1
388,Banjarmasin,Tidak,PT Indexim,Python,"Upskill, Networking",LinkedIn,Kalimantan Selatan,0
389,Surabaya,Ya,Mahasiswa,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
390,Banyuwangi,Tidak,Pt unggul dinamika utama,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,0
391,Jakarta Selatan,Tidak,ALVA - Data Analyst,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
392,Jakarta Selatan,Tidak,Sales Data Analyst - ALVA,"SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jakarta,1
393,Bogor,Ya,Belum bekerja,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
394,Bogor,Ya,Belum bekerja,"Python, Power BI, Databases, Tableau","Cari Kerja, Upskill, Networking",Teman,Jawa Barat,1
395,Tegal,Ya,Lagi Mencari :),"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Tengah,1
396,Bekasi,Tidak,"Belum ada, masih jobseeker","SQL, Python, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
397,Bantul,Ya,Staff Data,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Tools Data Engineer","Upskill, Networking",LinkedIn,DI Yogyakarta,0
398,Makassar,Tidak,Digital Marketing - Universitas Ciputra Makassar,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Sulawesi Selatan,0
399,Semarang,Ya,Mahasiswa Universitas Diponegoro ,"SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Tengah,1
